"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3598","@API Home Page","chromium","2026-06-05","passed","2026-06-05","","18.WebAPI-POSTPart-4.spec.js","",""
"","14713","@API Assignment 1","chromium","2026-06-05","passed","2026-06-05","","17.WebAPI-POSTPart-3withUtils.spec.js","",""
